,SVC,Log Reg,Random Forest
0,0.7333333333333333,0.8,0.7333333333333333
1,0.8666666666666667,0.8888888888888888,0.9333333333333333
2,0.9555555555555556,0.9333333333333333,0.8222222222222222
3,0.8888888888888888,0.8444444444444444,0.6888888888888889
4,0.8,0.8,0.8222222222222222
5,0.7111111111111111,0.7333333333333333,0.6222222222222222
6,0.7333333333333333,0.7111111111111111,0.5777777777777777
7,0.7333333333333333,0.7555555555555555,0.7555555555555555
8,0.7777777777777778,0.8222222222222222,0.6888888888888889
9,0.8444444444444444,0.8444444444444444,0.8444444444444444
