"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Person01_plasma_youth_NEG"	"Person02_plasma_youth_NEG"	"Person03_plasma_youth_NEG"	"Person04_plasma_youth_NEG"	"Person05_plasma_elder_NEG"	"Person06_plasma_elder_NEG"	"Person07_plasma_elder_NEG"	"Person08_plasma_elder_NEG"	"Person09_plasma_elder_NEG"	"Person10_plasma_elder_NEG"	"Person11_plasma_youth_NEG"	"Person12_plasma_youth_NEG"	"Person13_plasma_youth_NEG"	"Person14_plasma_youth_NEG"	"Person15_plasma_youth_NEG"	"Person16_plasma_youth_NEG"	"Person17_plasma_youth_NEG"	"Person18_plasma_elder_NEG"	"Person19_plasma_elder_NEG"	"Person20_plasma_youth_NEG"	"Person21_plasma_youth_NEG"	"Person22_plasma_elder_NEG"	"Person23_plasma_elder_NEG"	"Person24_plasma_elder_NEG"	"Person25_plasma_elder_NEG"	"Person26_plasma_elder_NEG"	"Person27_plasma_youth_NEG"	"Person28_plasma_youth_NEG"	"Person29_plasma_elder_NEG"	"Person30_plasma_elder_NEG"
"CHEBI:17552"	"C10H15N5O11P2"	"C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N"	"InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1"	"GDP"	"442.01773"	""	"[M-H]-"	"negative"	"15.3"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"67148.67866"	"138505.7881"	"56765.82389"	"42653.59832"	"204630.374"	"92667.04879"	"57931.24271"	"114473.6579"	"26466.28355"	"9703.813746"	"134340.4556"	"122266.7309"	"75113.4608"	"81355.5617"	"116278.0516"	"89987.7423"	"151580.9266"	"90812.02905"	"286868.9618"	"177837.9026"	"185702.2277"	"87864.60146"	"44177.07645"	"49886.75309"	"23407.26856"	"40140.11726"	"180498.8436"	"49080.85656"	"58329.77289"	"12313.60241"
"CHEBI:17345"	"C10H14N5O8P"	"C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N"	"InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1"	"GMP"	"362.05084"	""	"[M-H]-"	"negative"	"14.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"179510.487"	"193123.9302"	"36475.44042"	"61599.91044"	"518324.9954"	"427563.9021"	"369411.6372"	"176907.5126"	"39363.46173"	"22335.38092"	"47848.44125"	"193620.5291"	"396121.4834"	"81814.20696"	"353541.9129"	"314999.0085"	"567224.6438"	"341780.4699"	"841525.4716"	"396358.7422"	"413928.2463"	"419654.3207"	"134668.395"	"133338.3717"	"24526.67901"	"59759.53664"	"296027.4957"	"432699.5329"	"104232.6167"	"47152.05642"
"CHEBI:16695"	"C9H13N2O9P"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O"	"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"UMP"	"323.02877"	""	"[M-H]-"	"negative"	"12.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"268584.4812"	"218739.4109"	"50048.63898"	"111197.1665"	"1007574.415"	"822794.2364"	"902460.1113"	"157205.6701"	"107510.3494"	"15218.89219"	"78248.45701"	"242092.9829"	"1146676.747"	"611654.6429"	"1507091.284"	"1039578.484"	"88354.36319"	"159418.2"	"222636.621"	"289440.9026"	"328378.2483"	"356810.6969"	"85118.6132"	"182017.9851"	"36460.2277"	"406287.8367"	"1423779.231"	"813871.1516"	"135843.8561"	"118769.0318"
"CHEBI:15713"	"C9H15N2O15P3"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O"	"InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"UTP"	"482.96233"	""	"[M-H]-"	"negative"	"15.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"658604.9065"	"591924.7075"	"699609.8956"	"512352.823"	"801369.2462"	"652322.1706"	"238672.1443"	"162914.1792"	"285708.4599"	"133101.1922"	"544671.715"	"794958.6108"	"1155921.035"	"703412.5989"	"1131428.47"	"1511009.134"	"727157.2675"	"328234.8661"	"667200.2451"	"1014300.999"	"947413.746"	"792206.0163"	"720294.9479"	"646169.5164"	"53808.04773"	"685876.6076"	"1424560.345"	"934595.8882"	"204541.1432"	"150879.6746"
"CHEBI:17368"	"C5H4N4O"	"C1=NC2=C(N1)C(=O)N=CN2"	"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"	"Hypoxanthine"	"135.03028"	""	"[M-H]-"	"negative"	"7.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"15100000"	"26500000"	"19200000"	"21600000"	"42900000"	"26300000"	"48700000"	"31100000"	"25300000"	"12500000"	"26400000"	"30400000"	"25900000"	"39000000"	"35600000"	"36200000"	"18300000"	"14400000"	"22000000"	"18000000"	"25200000"	"27600000"	"39100000"	"23200000"	"21100000"	"18900000"	"19100000"	"39300000"	"31300000"	"31600000"
"CHEBI:17775"	"C5H4N4O3"	"C12=C(NC(=O)N1)NC(=O)NC2=O"	"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"	"Urate"	"167.02141"	""	"[M-H]-"	"negative"	"10.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"110000000"	"157000000"	"123000000"	"199000000"	"44500000"	"46400000"	"50200000"	"37400000"	"268000000"	"1415834.712"	"226000000"	"197000000"	"22200000"	"22000000"	"21800000"	"30400000"	"81500000"	"90600000"	"209000000"	"136000000"	"120000000"	"172000000"	"138000000"	"143000000"	"129000000"	"37200000"	"64400000"	"61900000"	"33300000"	"36600000"
"CHEBI:16704"	"C9H12N2O6"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O"	"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1"	"Uridine"	"243.06228"	""	"[M-H]-"	"negative"	"7.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"6198002.955"	"9364279.339"	"11500000"	"9729902.811"	"15200000"	"12100000"	"14800000"	"12200000"	"6203215.943"	"8902931.499"	"12500000"	"7398716.15"	"11700000"	"11000000"	"13500000"	"12200000"	"5766765.295"	"9741457.402"	"11500000"	"10300000"	"10700000"	"7990605.444"	"13100000"	"8754778.747"	"10800000"	"2433747.257"	"11700000"	"12100000"	"8059696.415"	"8638697.589"
"CHEBI:17712"	"C5H4N4O2"	"C1=NC2=C(N1)C(=O)NC(=O)N2"	"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"	"Xanthine"	"151.02649"	""	"[M-H]-"	"negative"	"8.6"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"975613.0176"	"999599.2486"	"998924.2603"	"357877.2749"	"732874.2213"	"404621.811"	"1106787.759"	"1228724.599"	"878862.5918"	"1076636.271"	"1426696.919"	"601183.6873"	"211655.3809"	"1030647.379"	"774184.954"	"506537.8144"	"1190221.791"	"779917.4791"	"2974913.66"	"953753.2533"	"691946.5419"	"339136.0004"	"691599.6198"	"682038.1271"	"998562.8266"	"225740.69"	"510270.2993"	"1106010.591"	"753931.5355"	"875723.596"
"CHEBI:16264"	"C17H27N3O17P2"	"CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O"	"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1"	"UDP-acetyl-glucosamine"	"606.07557"	""	"[M-H]-"	"negative"	"12.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1302203.286"	"1175924.215"	"757163.9737"	"981603.4001"	"1494087.148"	"1544401.148"	"1499944.778"	"343060.2864"	"2107999.363"	"130377.6736"	"628715.9689"	"1796291.738"	"2880432.1"	"1297983.793"	"3901421.714"	"2924473.674"	"919608.3645"	"724794.9616"	"722984.4657"	"1859441.362"	"1642275.4"	"1473592.015"	"764258.5278"	"1178382.652"	"408617.1819"	"505038.7522"	"3070931.644"	"2539484.631"	"454892.3384"	"410913.143"
"CHEBI:18066"	"C15H24N2O17P2"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O"	"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1"	"UDP-glucose"	"565.04867"	""	"[M-H]-"	"negative"	"13.9"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1058301.656"	"1232830.074"	"1122567.191"	"1009020.4"	"653960.604"	"435389.8687"	"422381.1135"	"68440.4801"	"785857.9155"	"145320.5805"	"711029.5671"	"1399393.679"	"1327898.493"	"415103.7062"	"556944.6652"	"647070.6143"	"2119697.749"	"812148.8836"	"1582608.003"	"1315058.167"	"1622640.574"	"1373477.568"	"1440011.213"	"789999.2183"	"11345.93674"	"503307.0026"	"1614999.967"	"470440.6346"	"234503.3196"	"251114.4396"
"CHEBI:58052"	"C15H19N2O18P2-3"	"O[C@@H]1[C@@H](COP([O-])(=O)OP([O-])(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C([O-])=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O"	"InChI=1S/C15H22N2O18P2/c18-5-1-2-17(15(26)16-5)12-9(22)6(19)4(32-12)3-31-36(27,28)35-37(29,30)34-14-10(23)7(20)8(21)11(33-14)13(24)25/h1-2,4,6-12,14,19-23H,3H2,(H,24,25)(H,27,28)(H,29,30)(H,16,18,26)/p-3/t4-,6-,7+,8+,9-,10-,11+,12-,14-/m1/s1"	"UDP-glucuronate"	"579.02841"	""	"[M-H]-"	"negative"	"16.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"128449.616"	"259903.9927"	"580590.0063"	"129662.9645"	"194698.2926"	"83831.92819"	"61343.50364"	"20241.547"	"293358.569"	"17661.7785"	"149139.3298"	"338704.9542"	"690742.739"	"183621.7557"	"204496.6247"	"61419.02056"	"49071.43025"	"152018.7323"	"455970.1726"	"217171.8828"	"165070.425"	"366046.9939"	"451463.0744"	"226604.3966"	"4221.436097"	"95054.76694"	"1004768.766"	"380303.4848"	"47973.81545"	"74753.76915"
"CHEBI:16863"	"C6H12O10P-"	"O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O"	"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/p-1/t2-,3-,4+,5-/m1/s1"	"6-Phosphogluconate"	"275.01735"	""	"[M-H]-"	"negative"	"15.2"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"CHEBI:19324"	"C3H3O10P2-5"	"[O-]C(=O)C(COP([O-])([O-])=O)OP([O-])([O-])=O"	"InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/p-5"	"Diphospho-glycerate"	"264.95197"	""	"[M-H]-"	"negative"	"15.6"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"182256.8563"	"134753.8978"	"120437.4496"	"202026.738"	"436407.6704"	"505298.8167"	"3882035.353"	"499962.386"	"102839.5248"	"118414.7849"	"171435.2249"	"79930.85588"	"336147.2772"	"361005.3714"	"495066.2036"	"536580.8976"	"110037.5088"	"115538.5814"	"123046.1852"	"110234.9984"	"214203.9744"	"317420.8629"	"4554910.451"	"463549.7383"	"229659.9509"	"168492.1614"	"375777.6754"	"1762474.755"	"309801.8544"	"292227.9028"
"CHEBI:78697"	"C6H13O9P"	""	""	"Fructose-6-phosphate"	"259.02239"	""	"[M-H]-"	"negative"	"13.6"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"464324.9233"	"608038.1456"	"446266.0634"	"301624.3399"	"536133.6204"	"429384.178"	"222232.801"	"174173.826"	"317547.3504"	"132200.7143"	"319128.2113"	"439557.9636"	"590685.9859"	"407482.883"	"815017.4663"	"730113.6999"	"583686.0554"	"283192.7415"	"628706.5487"	"441742.7008"	"604076.5985"	"512294.1654"	"646686.9305"	"459365.3673"	"297512.7086"	"405066.3472"	"936848.369"	"448790.2184"	"307097.9041"	"323989.1342"
"CHEBI:14314"	"C6H13O9P"	""	""	"Glucose-6-phosphate"	"259.02242"	""	"[M-H]-"	"negative"	"14.2"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"624659.4522"	"1059483.259"	"751872.2985"	"921328.4044"	"1219558.37"	"1557843.835"	"941277.0917"	"739476.9097"	"755753.9675"	"284793.2875"	"792092.4685"	"845228.4496"	"1427023.507"	"1043727.372"	"1205071.014"	"1948076.068"	"1213728.296"	"919339.8956"	"1512828.895"	"998569.4836"	"1075800.288"	"1142309.883"	"1631219.075"	"1135950.42"	"333901.7423"	"1312086.548"	"1445542.588"	"1888764.736"	"846297.6914"	"1202443.031"
"CHEBI:17138"	"C3H7O6P"	"[H]C(=O)C(O)COP(O)(O)=O"	"IInChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)"	"Glyceraldehyde-3-phosphate"	"168.99107"	""	"[M-H]-"	"negative"	"12.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"18093.59825"	"24351.73282"	"10837.33096"	"18833.47475"	"0"	"2206.84405"	"0"	"0"	"40404.61437"	"3218.84675"	"3042.273928"	"19075.55812"	"0"	"0"	"0"	"0"	"264558.639"	"77901.71684"	"317083.9272"	"306898.5896"	"152030.9772"	"76259.75739"	"28981.17248"	"8880.58418"	"0"	"0"	"0"	"0"	"0"	"0"
"CHEBI:17270"	"C3H9O6P"	"C(C(CO)OP(=O)(O)O)O"	"InChI=1S/C3H9O6P/c4-1-3(2-5)9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)"	"Glycerol-2-phosphate"	"171.00666"	""	"[M-H]-"	"negative"	"12.5"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"506928.3891"	"991563.1218"	"562965.3927"	"927062.1041"	"707298.1236"	"1230903.682"	"764717.1531"	"925150.1312"	"911892.8975"	"180612.5254"	"638822.5722"	"1019745.178"	"1233873.26"	"923208.028"	"1174868.563"	"1361188.794"	"586968.9543"	"391754.6565"	"1365504.104"	"785276.4569"	"625786.8048"	"654599.511"	"786876.3031"	"765790.8097"	"568248.1299"	"890942.7675"	"1463897.694"	"950013.482"	"639211.123"	"1045651.461"
"CHEBI:84055"	"C5H11O8P"	""	""	"Pentose-phosphate"	"229.01188"	""	"[M-H]-"	"negative"	"13.2"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"CHEBI:88350|CHEBI:88352"	"C3H4O7P-3"	"C(C(CO)OP([O-])([O-])=O)([O-])=O|P(OCC(C([O-])=O)O)([O-])([O-])=O"	"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3|InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3"	"Phosphoglycerate"	"184.98589"	""	"[M-H]-"	"negative"	"14.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"234251.2709"	"335190.4714"	"199716.2113"	"348176.52"	"409210.6808"	"691573.2525"	"552334.6838"	"512243.323"	"280689.5806"	"60513.62792"	"253056.7378"	"363992.6871"	"515122.6459"	"273084.8719"	"483490.1345"	"698676.9647"	"431800.7313"	"291903.7793"	"374723.0738"	"306259.3343"	"338551.0734"	"318065.5259"	"317765.8427"	"223738.1979"	"86880.27881"	"307517.4917"	"424696.2767"	"433312.8982"	"163423.0488"	"209585.3626"
"CHEBI:15721"	"C7H15O10P"	"C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O"	"InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/t4-,5-,6-,7+/m1/s1"	"Sedoheptulose-7-phosphate"	"289.033"	""	"[M-H]-"	"negative"	"13.7"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"111579.7756"	"215801.1582"	"109165.8809"	"47933.21694"	"188805.0533"	"141659.5477"	"25661.80185"	"41521.68135"	"94796.32581"	"76965.48188"	"339770.0617"	"77001.39277"	"94110.74444"	"100098.9066"	"321474.4047"	"195127.5574"	"226696.3209"	"64440.90332"	"144020.7628"	"82603.53641"	"242383.9502"	"127467.5215"	"384561.5377"	"131672.9998"	"54845.90942"	"118322.3715"	"210718.7746"	"237157.6365"	"129172.085"	"256959.9224"
"CHEBI:16070"	"C6H12O5"	"C1C(C(C(C(O1)CO)O)O)O"	"InChI=1S/C6H12O5/c7-1-4-6(10)5(9)3(8)2-11-4/h3-10H,1-2H2/t3-,4+,5+,6+/m0/s1"	"1,5-Anhydroglucitol"	"163.06154"	""	"[M-H]-"	"negative"	"9.2"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"92300000"	"186000000"	"138000000"	"114000000"	"109000000"	"62500000"	"108000000"	"224000000"	"32000000"	"42600000"	"209000000"	"143000000"	"228000000"	"173000000"	"204000000"	"170000000"	"51700000"	"46300000"	"73400000"	"74700000"	"139000000"	"80600000"	"88300000"	"98100000"	"128000000"	"119000000"	"113000000"	"206000000"	"54800000"	"74100000"
"CHEBI:24265"	"C6H11O7-"	""	""	"Gluconate"	"195.05134"	""	"[M-H]-"	"negative"	"11.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"4527300.162"	"4762433.225"	"5185376.86"	"10700000"	"5298573.311"	"10300000"	"11400000"	"6909996.239"	"36600000"	"3097412.142"	"4784722.009"	"4829893.232"	"6954308.7"	"4571829.251"	"5446719.229"	"6177048.858"	"6627804.471"	"4889590.177"	"6985476.967"	"5928567.598"	"7100826.552"	"7681812.806"	"7266346.585"	"14200000"	"6686632.676"	"6390163.55"	"5996344.363"	"5460373.91"	"4067363.004"	"13500000"
"CHEBI:17234"	"C6H12O6"	""	""	"Glucose"	"179.05639"	""	"[M-H]-"	"negative"	"12"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"88700000"	"185000000"	"136000000"	"199000000"	"185000000"	"176000000"	"206000000"	"170000000"	"156000000"	"44500000"	"218000000"	"120000000"	"137000000"	"160000000"	"147000000"	"167000000"	"89800000"	"120000000"	"227000000"	"95100000"	"81000000"	"186000000"	"238000000"	"250000000"	"255000000"	"86400000"	"254000000"	"144000000"	"225000000"	"200000000"
"CHEBI:17268"	"C6H12O6"	"C1(C(C(C(C(C1O)O)O)O)O)O"	"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H"	"myo-Inositol"	"179.05635"	""	"[M-H]-"	"negative"	"14.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"4537666.973"	"6311391.889"	"8632803.492"	"14800000"	"7513273.852"	"7108509.331"	"9331330.524"	"5229408.956"	"9012131.506"	"2618138.069"	"7376704.012"	"6746915.697"	"12500000"	"7076081.389"	"7784768.829"	"7488994.804"	"6466753.916"	"4572135.032"	"9030055.447"	"5608992.716"	"8041631.184"	"9723630.929"	"8061816.35"	"7722047.637"	"12000000"	"7861753.187"	"8079874.277"	"8422738.091"	"8471292.683"	"12400000"
"CHEBI:16810"	"C5H4O5-2"	"C(CC(=O)[O-])C(=O)C(=O)[O-]"	"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2"	"2-Oxoglutarate"	"145.01466"	""	"[M-H]-"	"negative"	"12.9"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"5474596.136"	"5009162.014"	"5297797.72"	"5272118.656"	"4970541.116"	"5277303.761"	"3913350.235"	"7118582.575"	"13500000"	"4261115.939"	"8765463.255"	"10900000"	"4825467.715"	"4761369.365"	"2915879.449"	"6001530.688"	"6819291.636"	"4001832.188"	"8159758.493"	"9489819.321"	"3617391.818"	"10400000"	"6012609.617"	"7333167.469"	"8339368.393"	"5336650.074"	"9416848.753"	"3092476.153"	"7138410.801"	"9898463.619"
